Title,Price,Price/m²,Location,Area,Bedrooms,Bathrooms,Image URL,Listing URL
Apartments For sale in Omar Khorshid St.,"8,000,000
    EGP","-38,095EGP/m",Greater Cairo  /  Omar Khorshid St.,210m²,3,3,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bd8ac40c49088094798.jpeg,https://aqarmap.com.eg/en/listing/6042158-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-10-omar-khorshid-st/
Duplex For sale in 103 Street,"7,000,000
    EGP","-17,500EGP/m",Greater Cairo  /  103 Street,400m²,4,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bdf654090b898277513.jpeg,https://aqarmap.com.eg/en/listing/6042286-for-sale-cairo-mokattam-lhdb-l-ly-103-street/
Apartments For sale in Gardenia Heights 3 - El Kamel,"3,250,000
    EGP","-27,083EGP/m",Greater Cairo  /  Gardenia Heights 3 - El Kamel,120m²,2,1,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d0e4b35bc5938051968.jpeg,https://aqarmap.com.eg/en/listing/6045414-for-sale-cairo-new-cairo-compounds-jrdyny-hyts-3/
Palace For sale in Southern 90th St.,"100,000,000
    EGP","-90,909EGP/m",Greater Cairo  /  Southern 90th St.,1100m²,8,9,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d365e34fa3615519627.jpeg,https://aqarmap.com.eg/en/listing/6046008-for-sale-cairo-new-cairo-90th-street-south-teseen-st/
apartment for sale in 90 avenue with furniture,"11,000,000
    EGP","-66,666EGP/m",Greater Cairo  /  90 Avenue Compound - Tabarak,165m²,2,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fdab34defd452521664.jpg,https://aqarmap.com.eg/en/listing/6052217-for-sale-cairo-new-cairo-compounds-ninety-avenue/
Apartments For sale in Sudan St,"2,197,000
    EGP","-18,008EGP/m",Greater Cairo  /  Sudan St,122m²,3,2,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2410/67151199d4df4170246613.jpg,https://aqarmap.com.eg/en/listing/6035571-for-sale-cairo-el-mohandesen-shareaa-el-sudan/
Apartment with Garden For sale in Asia - Eco West Compound,"1,900,000
    EGP","-21,111EGP/m",Greater Cairo  /  Asia - Eco West Compound,90m²,2,1,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fda3ac44ec240732269.jpg,https://aqarmap.com.eg/en/listing/6052214-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-eco-west-compound-new-city-development-asia/
فيلا منفصلة للبيع في كمبوند كنز - مدار,"37,000,000
    EGP","-139,622EGP/m",Greater Cairo  /  Kinz Compound - Madaar,265m²,5,6,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fcbf3342b3813041013.jpeg,https://aqarmap.com.eg/en/listing/6051967-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-kinz-compound-madaar/
Apartments For sale in New Narges,"6,090,216
    EGP","-34,603EGP/m",Greater Cairo  /  New Narges,176m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6820bb1a446e5609602258.jpg,https://aqarmap.com.eg/en/listing/5638525-for-sale-cairo-new-cairo-new-narges/
"The only one in Al-Mosky, El Mosky ..vacant plot of land overlooking two streets, registered in the Real Estate Registry","43,000,000
    EGP","-307,142EGP/m",Greater Cairo  /  Al Moski St.,140m²,N/A,N/A,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685927c45452a168014105.jpg,https://aqarmap.com.eg/en/listing/5877650-for-sale-cairo-downtown-el-moskey-al-moski-st/
Apartment 145 m for sale - Seventh District - Nasr City,"3,450,000
    EGP","-23,793EGP/m",Greater Cairo  /  Ali Ameen St.,145m²,2,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6860f43ce38ec841486534.jpeg,https://aqarmap.com.eg/en/listing/6056009-for-sale-cairo-nasr-city-el-hay-el-sabea-ali-ameen/
Apartments For sale in Samir Shehata Street,"8,500,000
    EGP","-29,310EGP/m",Greater Cairo  /  Samir Shehata Street,290m²,4,4,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fd704f387b515942622.jpg,https://aqarmap.com.eg/en/listing/6052148-for-sale-cairo-new-cairo-el-yassamin-el-yasmeen-1-samir-shehata-street/
Apartments For sale in Abo Dawoud El Zaheri St.,"13,000,000
    EGP","-54,166EGP/m",Greater Cairo  /  Abo Dawoud El Zaheri St.,240m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fb736f36a3956398612.jpeg,https://aqarmap.com.eg/en/listing/6051715-for-sale-cairo-nasr-city-abou-dawoud-el-zaheri/
Appartment 195 for sale in trio gardens old price 8years installments,"10,500,000
    EGP","-53,846EGP/m",Greater Cairo  /  Trio Gardens Compound - M Squared,195m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2407/6695230410232009306019.jpg,https://aqarmap.com.eg/en/listing/4912943-for-sale-cairo-new-cairo-compounds-trio-gardens/
Apartments For sale in New Narges,"9,441,328
    EGP","-37,317EGP/m",Greater Cairo  /  New Narges,253m²,4,4,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2502/67b9ed6777d0e398343126.jpg,https://aqarmap.com.eg/en/listing/5658366-for-sale-cairo-new-cairo-new-narges/
Apartments For sale in Anwar El Mofti St.,"7,500,000
    EGP","-31,250EGP/m",Greater Cairo  /  Anwar El Mofti St.,240m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fc3ae39b61514203642.jpeg,https://aqarmap.com.eg/en/listing/6051870-for-sale-cairo-nasr-city-1st-zone-anwar-el-mofti-st/
Apartments For sale in New Narges,"6,090,216
    EGP","-34,603EGP/m",Greater Cairo  /  New Narges,176m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2502/67b1eb8456659576439464.jpg,https://aqarmap.com.eg/en/listing/5638465-for-sale-cairo-new-cairo-new-narges/
Commercial For sale in El Banafseg Services Area,"100,000,000
    EGP","-62,500EGP/m",Greater Cairo  /  El Banafseg Services Area,1600m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bf9dba4691916525192.jpeg,https://aqarmap.com.eg/en/listing/6042831-for-sale-cairo-new-cairo-el-banafsg-mntq-khdmt-lbnfsj/
Shops For sale in Ezzat Pasha St.,"10,660,000
    EGP","-52,000EGP/m",Greater Cairo  /  El Zaher Square,205m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67d039a8a09f1906711634.jpg,https://aqarmap.com.eg/en/listing/5711237-for-sale-cairo-el-zaher-el-zaher-square/
Apartments For sale in The City Valley Compound - EG Master,"2,500,000
    EGP","-20,833EGP/m",Greater Cairo  /  The City Valley Compound - EG Master,120m²,2,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684d4b2d2b0e2588299500.png,https://aqarmap.com.eg/en/listing/6003158-for-sale-cairo-new-administrative-capital-r7-kmbwnd-dh-syty-fly-yjy-mstr/
Apartments For sale in New Narges,"6,090,216
    EGP","-34,603EGP/m",Greater Cairo  /  New Narges,176m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2502/67b1e95d99ecb726684710.jpg,https://aqarmap.com.eg/en/listing/5638411-for-sale-cairo-new-cairo-new-narges/
Apartments For sale in El zaher,"3,725,400
    EGP","-22,855EGP/m",Greater Cairo  /  El Zaher Square,163m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67deb3a1530ea752936034.jpg,https://aqarmap.com.eg/en/listing/5747223-for-sale-cairo-el-zaher-el-zaher-square/
Apartments For sale in el zaher,"2,754,500
    EGP","-25,270EGP/m",Greater Cairo  /  El Zaher Square,109m²,2,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67debe40bf90b213904239.jpg,https://aqarmap.com.eg/en/listing/5747436-for-sale-cairo-el-zaher-el-zaher-square/
Roof For sale in The Second Area - Lotus North,"4,750,000
    EGP","-23,170EGP/m",Greater Cairo  /  The Second Area - Lotus North,205m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fcd3460a9f159939903.jpg,https://aqarmap.com.eg/en/listing/6051994-for-sale-cairo-new-cairo-el-lotus-lotus-north-lmntq-lthny-llwts-lshmly/
Apartments For sale in Makany Compound - El Mansour,"5,016,190
    EGP","-32,362EGP/m",Greater Cairo  /  Makany Compound - El Mansour,155m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fb5e31e764569123979.jfif,https://aqarmap.com.eg/en/listing/6051693-for-sale-cairo-new-cairo-el-kattameya-compounds-in-kattameya-kmbwnd-mkny-lmnswr-llttwyr/
Apartments For sale in Sixth Neighborhood,"6,050,000
    EGP","-24,103EGP/m",Greater Cairo  /  Sixth Neighborhood,251m²,4,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/67f0fc521caf3125054560.jpg,https://aqarmap.com.eg/en/listing/5778255-for-sale-cairo-new-cairo-bait-el-watan-sixth-neighborhood/
شقق للبيع في شارع عقبة بن نافع,"7,900,000
    EGP","-31,600EGP/m",Greater Cairo  /  Okba Ebn Nafeaa St.,250m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/686025bbbf55b482288367.jpg,https://aqarmap.com.eg/en/listing/6053212-for-sale-cairo-new-cairo-el-narges-el-narges-6-okba-ebn-nafeaa-st/
تجاري للبيع في ريجنسي مول,"5,830,000
    EGP","-110,000EGP/m",Greater Cairo  /  Regency Mall,53m²,N/A,N/A,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d600771ce9238187155.jpeg,https://aqarmap.com.eg/en/listing/6046639-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-regency-mall/
iVilla 230 m with Terrace-Mountain View iCity,"9,780,716
    EGP","-42,524EGP/m",Greater Cairo  /  Mountain Park - Mountain View iCity Compound,230m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685c04ad223b9827724016.jpeg,https://aqarmap.com.eg/en/listing/6043079-for-sale-cairo-new-cairo-compounds-mwntn-fyw-y-syty-mountain-park-mountain-view-icity/
"Apartment for sale in the most upscale areas of Nasr City, the Sixth District, Ahmed Fakhry branches, 220 square meters","8,000,000
    EGP","-36,363EGP/m",Greater Cairo  /  Mahmoud Ghoneim St.,220m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685de00234339840619418.jpg,https://aqarmap.com.eg/en/listing/6048354-for-sale-cairo-nasr-city-6th-zone-mahmoud-ghoneim-st/
تاون هاوس للبيع في كمبوند بادية - بالم هيلز,"9,987,604
    EGP","-53,409EGP/m",Greater Cairo  /  Badya Compound - Palm Hills,187m²,4,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68611cf812971735203294.jpg,https://aqarmap.com.eg/en/listing/6056446-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-badya-compound-palm-hills/
ready to move apartment fully finished+ furnished,"10,000,000
    EGP","-68,493EGP/m",Greater Cairo  /  Origami Gardens - Taj City Compound,146m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6851381a3e32f886878181.jpeg,https://aqarmap.com.eg/en/listing/6017451-for-sale-cairo-new-cairo-compounds-tag-city-origami-gardens-taj-city-compound/
Apartments For sale in El Nozha St.,"7,100,000
    EGP","-29,583EGP/m",Greater Cairo  /  El Nozha St.,240m²,4,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68503d780a6d3594296477.jpg,https://aqarmap.com.eg/en/listing/6016095-for-sale-cairo-heliopolis-ard-el-golf-el-nozha-st/
شقق للبيع في شارع الريحان,"5,400,000
    EGP","-25,714EGP/m",Greater Cairo  /  El Rihan St.,210m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d518d7be8c664845890.jpeg,https://aqarmap.com.eg/en/listing/6046436-for-sale-cairo-6th-of-october-garb-someed-neighborhood-14th-el-rihan-st/
Apartments For sale in Makany Compound - El Mansour,"5,051,970
    EGP","-36,345EGP/m",Greater Cairo  /  Makany Compound - El Mansour,139m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2109/6141b818821da413020552.jpg,https://aqarmap.com.eg/en/listing/6051558-for-sale-cairo-new-cairo-el-kattameya-compounds-in-kattameya-kmbwnd-mkny-lmnswr-llttwyr/
Under Market Price For 3 BR Apt With Open View .,"7,500,000
    EGP","-45,180EGP/m",Greater Cairo  /  El Patio Oro Compound - La Vista,166m²,3,3,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6825a39f4c3f6919069784.jpeg,https://aqarmap.com.eg/en/listing/5923581-for-sale-cairo-new-cairo-compounds-el-patio-oro/
Finished Apartment 3BR RTM with installments,"9,000,000
    EGP","-46,153EGP/m",Greater Cairo  /  Amorada Park View Compound - Afaaq,195m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684ed552905c4380943400.jpg,https://aqarmap.com.eg/en/listing/6013671-for-sale-cairo-new-cairo-compounds-amorada-park-view-compound-afaaq/
